61;J0102+4839;124.932;-14.827;337.837838;-999;-999;-999;53.50;-999;-999;-999;-999;0.50;-999;HE;-999;2.83e+00;-999;-999;-999;-999;-999;
62;J0102+6537;124.080;2.773;0.595534;-2.112e-15;-2.870e-26;-999;65.85;-999;-94.00;89.700;110.400;8.50;1.20;-999;-999;5.31e+01;7.50e+00;4.97e+31;7.94e+30;3.20e+12;6.34e+00;
63;J0103+54;124.741;-8.796;2.822435;-999;-999;-999;55.60;-999;-999;-999;-999;-999;-999;RRAT;-999;-999;-999;-999;-999;-999;-999;
64;J0106+4855;125.465;-13.867;12.025402;-6.188e-14;-999;-999;70.87;-999;-999;-999;-999;-999;0.01;HE;-999;-999;7.49e-02;2.94e+34;3.14e+33;-999;3.11e+03;
65;J0107+13;128.961;-49.266;0.835143;-999;-999;-999;22.02;-999;-999;36.000;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;
66;J0108-1431;140.930;-76.815;1.238291;-1.181e-16;-8.900e-27;-999;2.38;-999;-0.30;26.000;75.000;9.00;1.40;-999;-999;3.97e-01;6.17e-02;5.77e+30;1.31e+32;2.32e+11;4.49e+00;
67;J0108+6608;124.646;3.328;0.779023;-7.920e-15;3.100e-25;-999;30.55;-999;-27.10;22.500;54.900;10.00;0.90;-999;-999;4.53e+01;4.07e+00;2.44e+32;5.38e+31;4.14e+12;1.84e+01;
68;J0108+6905;124.461;6.277;0.933604;-4.192e-17;-7.800e-28;-999;61.06;-999;-33.04;-999;-999;3.70;0.40;-999;-999;1.45e+01;1.57e+00;1.55e+30;3.94e+29;-999;1.75e+00;
69;J0111+6624;124.928;3.609;0.232457;-4.520e-16;-999;-999;111.20;-999;-999;-999;-999;13.60;-999;-999;-999;7.90e+01;-999;4.15e+30;7.14e+29;-999;7.15e-01;
70;J0111-7131;300.669;-45.510;1.452345;-1.496e-14;-999;-999;76.00;-999;-999;13.000;-999;-999;0.06;-999;-999;-999;2.14e+02;8.58e+32;2.41e+29;-999;6.42e+01;
71;J0113-7220;300.615;-44.688;3.068586;-4.575e-14;-999;-999;125.49;-999;87.00;-999;-999;-999;0.40;-999;-999;-999;1.43e+03;5.54e+33;1.56e+30;-999;3.45e+02;
72;J0115+6325;125.648;0.687;1.917709;-5.879e-15;-999;-999;65.07;-999;-999;19.000;-999;-999;-999;-999;-999;-999;-999;4.45e+32;1.19e+32;-999;6.11e+01;
